"PlayerName","Team","POS","ADP","PA","mAVG","mRBI","mR","mSB","mHR","PTS","aPOS","Dollars"
"Dan Vogelbach","Mariners","1B","594.4","174","($59.6)","($28.6)","($18.3)","($20.3)","($38.3)","($165.0)","$38.2","($125.8)"
"Melky Cabrera","Pirates","OF","597.3","141","($51.6)","($33.4)","($21.4)","($19.3)","($47.7)","($173.3)","$46.4","($126.0)"
"Mark Canha","Athletics","OF","596.0","160","($63.2)","($31.4)","($19.3)","($18.6)","($41.5)","($174.1)","$46.4","($126.7)"
"Derek Dietrich","Reds","1B/OF","565.7","165","($61.1)","($30.6)","($21.1)","($19.9)","($41.9)","($174.6)","$46.4","($127.2)"
"Matt Holliday","","1B/OF/DH","999.0","176","($63.6)","($30.6)","($20.1)","($20.0)","($41.0)","($175.3)","$46.4","($128.0)"
"Yoenis Cespedes","Mets","OF","527.9","107","($64.0)","($30.9)","($19.9)","($19.4)","($41.2)","($175.4)","$46.4","($128.0)"
"Brett Phillips","Royals","OF","598.7","344","($72.5)","($32.3)","($24.4)","($7.8)","($38.4)","($175.4)","$46.4","($128.0)"
"Peter O'Brien","Marlins","1B/OF","566.6","290","($83.4)","($25.0)","($23.5)","($19.8)","($24.3)","($176.0)","$46.4","($128.6)"
"Bradley Zimmer","Indians","OF","553.6","143","($67.5)","($34.9)","($20.2)","($7.5)","($46.0)","($176.1)","$46.4","($128.7)"
"Taylor Ward","Angels","3B","594.2","148","($63.6)","($34.4)","($20.3)","($16.0)","($45.0)","($179.3)","$48.5","($129.9)"
"Phillip Ervin","Reds","OF","598.6","142","($65.9)","($34.0)","($22.3)","($9.2)","($46.0)","($177.3)","$46.4","($129.9)"
"Christian Walker","Diamondbacks","1B/OF/DH","594.8","142","($65.2)","($31.1)","($21.0)","($18.8)","($41.1)","($177.3)","$46.4","($129.9)"
"Tim Beckham","Mariners","3B/SS","542.1","216","($63.3)","($31.0)","($22.6)","($16.9)","($40.2)","($174.0)","$42.6","($130.5)"
"Jake Marisnick","Astros","OF","599.1","161","($72.5)","($32.7)","($20.2)","($10.5)","($42.2)","($178.0)","$46.4","($130.6)"
"Victor Reyes","Tigers","OF/DH","600.5","156","($56.8)","($36.5)","($23.5)","($9.8)","($51.7)","($178.3)","$46.4","($130.9)"
"Noel Cuevas","Rockies","OF","999.0","121","($56.6)","($34.7)","($22.0)","($16.1)","($49.3)","($178.6)","$46.4","($131.2)"
"Chris Young","","OF","999.0","167","($68.8)","($31.5)","($21.2)","($16.2)","($40.9)","($178.7)","$46.4","($131.4)"
"Aledmys Diaz","Astros","3B/SS","522.8","117","($60.7)","($32.2)","($19.7)","($17.9)","($44.9)","($175.5)","$42.6","($131.9)"
"Nick Martini","Athletics","OF","585.6","234","($55.8)","($39.2)","($18.3)","($17.0)","($50.2)","($180.5)","$46.4","($133.1)"
"Andrew Romine","","P/1B/2B/3B/SS/OF","999.0","376","($57.1)","($36.0)","($27.5)","($8.1)","($48.3)","($177.0)","$42.6","($133.5)"
"Socrates Brito","Diamondbacks","OF","999.0","151","($61.6)","($34.6)","($23.4)","($14.4)","($47.0)","($181.0)","$46.4","($133.6)"
