"PlayerName","Team","POS","ADP","PA","mAVG","mRBI","mR","mSB","mHR","PTS","aPOS","Dollars"
"Joey Curletta","Mariners","1B/OF","999.0","39","($73.1)","($39.0)","($23.2)","($20.5)","($51.4)","($207.1)","$46.4","($159.7)"
"Dylan Cozens","Phillies","OF","999.0","27","($74.5)","($38.7)","($23.2)","($19.7)","($51.1)","($207.2)","$46.4","($159.8)"
"Hanser Alberto","Orioles","2B/3B/SS","999.0","46","($67.9)","($39.0)","($23.7)","($20.1)","($52.8)","($203.6)","$42.6","($160.0)"
"Jonathan Davis","Blue Jays","OF/DH","999.0","34","($72.5)","($39.9)","($23.3)","($18.6)","($53.1)","($207.4)","$46.4","($160.0)"
"Magneuris Sierra","Marlins","OF","600.6","65","($70.0)","($40.7)","($26.0)","($16.6)","($54.2)","($207.4)","$46.4","($160.1)"
"Ryan Cordell","White Sox","OF","999.0","33","($73.1)","($39.3)","($23.6)","($19.3)","($52.2)","($207.5)","$46.4","($160.1)"
"Kevin Cron","Diamondbacks","1B","600.3","61","($70.4)","($36.9)","($23.0)","($20.6)","($48.5)","($199.5)","$38.2","($160.3)"
"Joe McCarthy","Rays","1B","999.0","66","($69.9)","($38.2)","($22.5)","($18.1)","($50.9)","($199.6)","$38.2","($160.4)"
"Jason Martin","Pirates","OF","999.0","20","($72.6)","($39.7)","($23.7)","($19.8)","($53.1)","($209.0)","$46.4","($161.6)"
"Rajai Davis","Mets","OF","597.3","20","($73.6)","($40.4)","($23.8)","($17.7)","($53.7)","($209.2)","$46.4","($161.8)"
"Dustin Peterson","Tigers","PH/PR","999.0","33","($71.4)","($39.3)","($23.5)","($20.5)","($52.6)","($207.3)","$44.3","($162.0)"
"Cole Tucker","Pirates","SS","600.8","34","($71.9)","($40.2)","($24.1)","($17.5)","($53.9)","($207.6)","$42.6","($164.0)"
"Breyvic Valera","Giants","2B/3B/SS/OF","999.0","32","($70.6)","($40.0)","($24.1)","($19.4)","($53.8)","($207.9)","$42.6","($164.3)"
"Willi Castro","Tigers","SS","999.0","33","($71.9)","($39.8)","($23.8)","($19.1)","($53.3)","($207.9)","$42.6","($164.3)"
"Josh Fuentes","Rockies","1B","999.0","28","($69.3)","($38.8)","($23.1)","($20.3)","($52.7)","($204.3)","$38.2","($165.1)"
"A.J. Reed","Astros","1B","597.6","40","($73.5)","($38.0)","($22.8)","($20.9)","($50.3)","($205.5)","$38.2","($166.3)"
"Bobby Bradley","Indians","1B","601.0","26","($73.0)","($38.5)","($22.8)","($20.7)","($51.2)","($206.2)","$38.2","($167.0)"
"Matt Thaiss","Angels","1B","597.9","33","($71.8)","($39.2)","($23.3)","($20.0)","($52.7)","($207.1)","$38.2","($167.9)"
