"PlayerName","Team","POS","ADP","IP","mW","mSV","mERA","mWHIP","mSO","PTS","aPOS","Dollars"
"Luis Cessa","Yankees","SP","686.4","97","($10.9)","($13.5)","($46.1)","($19.7)","($18.5)","($108.8)","$63.3","($44.5)"
"Francelis Montas","Athletics","RP","617.4","40","($29.3)","($13.5)","($7.0)","($13.7)","($34.6)","($98.1)","$52.5","($44.6)"
"Buddy Boshers","Twins","RP","999.0","40","($29.3)","($13.5)","($10.8)","($9.8)","($35.0)","($98.4)","$52.5","($44.9)"
"Matt Barnes","Red Sox","RP","832.9","64","($24.7)","($8.6)","($14.2)","($26.9)","($24.0)","($98.5)","$52.5","($45.0)"
"Brandon McCarthy","Dodgers","SP","480.5","63","($24.7)","($13.5)","($26.9)","($15.6)","($28.7)","($109.4)","$63.3","($45.1)"
"Chris Hatcher","Dodgers","RP","999.0","44","($29.3)","($13.5)","($12.6)","($10.4)","($33.0)","($98.8)","$52.5","($45.3)"
"Seth Lugo","Mets","SP","427.0","119","($10.9)","($13.5)","($37.4)","($33.6)","($14.2)","($109.7)","$63.3","($45.4)"
"Casey Fien","Mariners","RP","999.0","41","($29.3)","($13.5)","($16.8)","($3.7)","($35.8)","($99.1)","$52.5","($45.6)"
"Brian Flynn","Royals","RP","905.6","41","($29.3)","($13.5)","($5.6)","($13.3)","($37.3)","($99.1)","$52.5","($45.6)"
"J.P. Howell","Blue Jays","RP","999.0","47","($24.7)","($13.5)","($4.6)","($21.0)","($35.4)","($99.2)","$52.5","($45.7)"
"Ariel Miranda","Mariners","SP","462.8","98","($10.9)","($13.5)","($37.2)","($27.1)","($21.3)","($110.0)","$63.3","($45.7)"
"Adam Conley","Marlins","SP","328.4","156","$2.9","($13.5)","($37.4)","($63.8)","$1.8","($110.0)","$63.3","($45.7)"
"Josh Hader","Brewers","SP","999.0","55","($29.3)","($13.5)","($19.5)","($20.2)","($27.5)","($110.1)","$63.3","($45.8)"
"Zac Rosscup","","RP","999.0","43","($29.3)","($13.5)","($6.5)","($18.5)","($31.8)","($99.7)","$52.5","($46.2)"
"Travis Wood","Royals","RP","753.1","66","($20.1)","($13.5)","($18.9)","($18.5)","($28.7)","($99.7)","$52.5","($46.2)"
"Reynaldo Lopez","White Sox","SP","999.0","86","($15.5)","($13.5)","($35.5)","($29.2)","($17.0)","($110.7)","$63.3","($46.4)"
"Vance Worley","Orioles","RP","999.0","50","($24.7)","($13.5)","($11.6)","($12.2)","($38.5)","($100.6)","$52.5","($47.1)"
"Rubby de la Rosa","Diamondbacks","SP","783.8","46","($24.7)","($13.5)","($21.0)","($17.5)","($35.0)","($111.7)","$63.3","($47.4)"
"Henderson Alvarez","","SP","941.6","38","($29.3)","($13.5)","($13.6)","($14.3)","($41.6)","($112.4)","$63.3","($48.1)"
"Kyle Ryan","Tigers","RP","999.0","54","($24.7)","($13.5)","($13.4)","($12.8)","($37.3)","($101.8)","$52.5","($48.3)"
"Tommy Layne","Yankees","RP","999.0","50","($29.3)","($11.9)","($7.8)","($20.0)","($33.0)","($102.0)","$52.5","($48.6)"
"Peter Moylan","Royals","RP","999.0","41","($29.3)","($13.5)","($5.6)","($15.3)","($38.9)","($102.6)","$52.5","($49.1)"
"Blaine Boyer","Brewers","RP","999.0","46","($29.3)","($13.5)","($2.3)","($17.5)","($40.1)","($102.6)","$52.5","($49.1)"
"Brandon Finnegan","Reds","SP","304.0","178","$7.5","($13.5)","($55.0)","($66.1)","$13.6","($113.5)","$63.3","($49.2)"
"Josh Collmenter","Braves","RP","802.7","63","($24.7)","($13.5)","($15.6)","($15.6)","($33.4)","($102.9)","$52.5","($49.4)"
"Drew Hutchison","Pirates","SP","494.0","99","($10.9)","($13.5)","($39.5)","($34.5)","($15.4)","($113.9)","$63.3","($49.6)"
"Joan Gregorio","Giants","SP","999.0","118","($15.5)","($10.2)","($31.3)","($49.4)","($7.6)","($114.1)","$63.3","($49.8)"
"Williams Perez","Braves","SP","999.0","43","($29.3)","($13.5)","($17.7)","($14.6)","($39.3)","($114.5)","$63.3","($50.2)"
"Vidal Nuno","Orioles","RP","974.6","55","($29.3)","($13.5)","($15.7)","($12.5)","($33.0)","($104.1)","$52.5","($50.6)"
"Blake Wood","Reds","RP","999.0","68","($24.7)","($13.5)","($12.3)","($31.4)","($22.4)","($104.4)","$52.5","($50.9)"
"Tommy Milone","Brewers","SP/RP","939.8","66","($24.7)","($13.5)","($26.3)","($20.4)","($30.3)","($115.3)","$63.3","($51.0)"
"Nate Karns","Royals","SP","426.5","144","($1.7)","($13.5)","($50.7)","($52.3)","$2.6","($115.6)","$63.3","($51.3)"
"Taylor Guerrieri","Rays","SP","999.0","73","($20.1)","($13.5)","($23.9)","($25.8)","($32.2)","($115.6)","$63.3","($51.3)"
"C.J. Wilson","Angels","SP","946.2","45","($29.3)","($13.5)","($18.6)","($17.8)","($36.5)","($115.8)","$63.3","($51.5)"
"Michael Tonkin","Twins","RP","751.6","67","($24.7)","($13.5)","($21.2)","($20.1)","($25.6)","($105.1)","$52.5","($51.6)"
"Colin Rea","Marlins","SP","999.0","49","($24.7)","($13.5)","($20.5)","($20.3)","($36.9)","($116.0)","$63.3","($51.7)"
"Albert Suarez","Giants","SP","856.3","72","($20.1)","($13.5)","($25.3)","($26.2)","($31.1)","($116.2)","$63.3","($51.9)"
"Oliver Perez","Nationals","RP","977.6","41","($29.3)","($13.5)","($13.1)","($17.2)","($33.0)","($106.2)","$52.5","($52.7)"
