"PlayerName","Team","POS","ADP","IP","mW","mSV","mERA","mWHIP","mSO","PTS","aPOS","Dollars"
"Carlos Villanueva","Padres","SP","999.0","121","($10.9)","($13.5)","($68.3)","($32.9)","($8.7)","($134.4)","$63.3","($70.1)"
"Matt Wisler","Braves","SP","652.3","99","($15.5)","($13.5)","($50.8)","($34.5)","($20.1)","($134.4)","$63.3","($70.1)"
"Michael Blazek","Brewers","RP","893.8","46","($24.7)","($13.5)","($21.0)","($29.1)","($35.4)","($123.7)","$52.5","($70.2)"
"Adam Morgan","Phillies","SP","933.0","74","($20.1)","($13.5)","($45.0)","($29.4)","($26.8)","($134.7)","$63.3","($70.4)"
"Daniel Wright","Angels","SP","999.0","44","($24.7)","($13.5)","($35.0)","($23.9)","($37.7)","($134.9)","$63.3","($70.6)"
"Tyrell Jenkins","Padres","SP/RP","889.8","37","($29.3)","($13.5)","($22.5)","($28.2)","($42.0)","($135.6)","$63.3","($71.3)"
"Tyler Chatwood","Rockies","SP","361.5","167","$12.1","($13.5)","($48.1)","($83.3)","($2.9)","($135.7)","$63.3","($71.4)"
"Shane Greene","Tigers","RP","879.9","43","($29.3)","($11.9)","($29.0)","($18.5)","($36.5)","($125.2)","$52.5","($71.7)"
"Ross Detwiler","Athletics","SP/RP","999.0","39","($29.3)","($13.5)","($27.1)","($25.6)","($40.5)","($136.1)","$63.3","($71.8)"
"Pierce Johnson","Cubs","RP","999.0","38","($29.3)","($13.5)","($21.1)","($24.0)","($37.3)","($125.3)","$52.5","($71.8)"
"Jarlin Garcia","Marlins","SP","999.0","76","($10.9)","($11.9)","($45.9)","($38.4)","($29.1)","($136.2)","$63.3","($71.9)"
"Steven Brault","Pirates","SP","641.9","92","($15.5)","($13.5)","($34.5)","($54.3)","($18.5)","($136.3)","$63.3","($72.0)"
"Raul Alcantara","Athletics","SP","893.1","65","($24.7)","($13.5)","($42.7)","($22.7)","($33.4)","($137.1)","$63.3","($72.8)"
"Mark Lowe","Tigers","RP","999.0","52","($29.3)","($13.5)","($31.2)","($21.3)","($31.1)","($126.4)","$52.5","($72.9)"
"Braden Shipley","Diamondbacks","SP","809.4","85","($15.5)","($13.5)","($40.6)","($39.2)","($28.3)","($137.2)","$63.3","($72.9)"
"Taylor Jungmann","Brewers","SP","942.6","38","($33.9)","($13.5)","($28.6)","($22.1)","($39.7)","($137.8)","$63.3","($73.5)"
"Chad Qualls","Rockies","RP","999.0","48","($29.3)","($11.9)","($29.4)","($20.7)","($35.8)","($127.0)","$52.5","($73.5)"
"Justin Masterson","","SP","999.0","45","($29.3)","($13.5)","($26.1)","($31.4)","($37.7)","($138.1)","$63.3","($73.8)"
"Chris Young","Royals","SP/RP","999.0","77","($20.1)","($13.5)","($44.5)","($36.1)","($25.6)","($139.8)","$63.3","($75.5)"
"David Buchanan","Phillies","SP","999.0","44","($29.3)","($13.5)","($27.5)","($27.8)","($41.6)","($139.8)","$63.3","($75.5)"
"Scott Oberg","Rockies","RP","999.0","48","($29.3)","($11.9)","($25.6)","($28.4)","($33.8)","($129.1)","$52.5","($75.6)"
"Ryan Vogelsong","Pirates","SP/RP","999.0","49","($29.3)","($13.5)","($31.7)","($28.1)","($37.3)","($139.9)","$63.3","($75.6)"
"Derek Holland","White Sox","SP","588.6","102","($10.9)","($13.5)","($54.0)","($41.2)","($21.3)","($141.0)","$63.3","($76.7)"
"Jason Motte","Rockies","RP","999.0","45","($29.3)","($10.2)","($29.9)","($23.6)","($37.3)","($130.4)","$52.5","($76.9)"
"Buck Farmer","Tigers","RP","999.0","40","($29.3)","($13.5)","($25.7)","($23.4)","($38.5)","($130.4)","$52.5","($76.9)"
"Brian Johnson","Red Sox","SP","999.0","71","($15.5)","($11.9)","($41.7)","($43.9)","($28.3)","($141.4)","$63.3","($77.1)"
"Scott Feldman","Reds","SP","796.3","117","($10.9)","($13.5)","($51.5)","($45.9)","($20.1)","($141.9)","$63.3","($77.6)"
"Chase Anderson","Brewers","SP","676.3","148","($1.7)","($13.5)","($71.2)","($51.0)","($4.8)","($142.2)","$63.3","($78.0)"
"Alex Meyer","Angels","SP","715.7","78","($20.1)","($13.5)","($39.3)","($51.2)","($19.7)","($143.9)","$63.3","($79.6)"
"Phil Hughes","Twins","SP","654.7","122","($10.9)","($13.5)","($66.9)","($34.5)","($18.1)","($144.0)","$63.3","($79.7)"
"Archie Bradley","Diamondbacks","SP","360.3","159","$2.9","($13.5)","($59.4)","($82.1)","$7.3","($144.8)","$63.3","($80.5)"
"Keyvius Sampson","","RP","999.0","46","($29.3)","($13.5)","($24.7)","($33.0)","($34.2)","($134.7)","$52.5","($81.2)"
"Mike Wright","Orioles","SP","999.0","72","($20.1)","($13.5)","($47.8)","($32.0)","($33.0)","($146.4)","$63.3","($82.1)"
"Anibal Sanchez","Tigers","SP","590.8","137","($6.3)","($13.5)","($75.6)","($46.9)","($5.6)","($147.9)","$63.3","($83.6)"
"CC Sabathia","Yankees","SP","405.7","155","($1.7)","($13.5)","($72.5)","($60.2)","($0.1)","($148.1)","$63.3","($83.8)"
"Aaron Harang","","SP","999.0","67","($24.7)","($13.5)","($43.6)","($33.6)","($33.0)","($148.6)","$63.3","($84.3)"
"Cody Reed","Reds","SP","613.3","101","($15.5)","($13.5)","($55.4)","($49.3)","($15.0)","($148.8)","$63.3","($84.5)"
"Kyle Gibson","Twins","SP","601.4","171","$2.9","($13.5)","($64.9)","($74.2)","$0.3","($149.5)","$63.3","($85.2)"
"Jhoulys Chacin","Padres","SP","637.1","149","($6.3)","($13.5)","($58.6)","($68.1)","($3.3)","($149.7)","$63.3","($85.4)"
"Jeff Locke","Marlins","SP","864.5","106","($10.9)","($13.5)","($52.1)","($53.5)","($20.5)","($150.5)","$63.3","($86.2)"
"Chris Heston","Mariners","RP","908.7","56","($24.7)","($13.5)","($33.0)","($33.5)","($35.0)","($139.7)","$52.5","($86.2)"
"Aaron Blair","Braves","SP","763.6","70","($20.1)","($13.5)","($50.6)","($40.4)","($26.8)","($151.4)","$63.3","($87.1)"
"Bronson Arroyo","Reds","SP","916.8","82","($20.1)","($13.5)","($52.4)","($34.4)","($31.5)","($151.9)","$63.3","($87.6)"
"Jon Niese","","SP","930.6","87","($15.5)","($13.5)","($45.3)","($50.2)","($27.5)","($152.0)","$63.3","($87.7)"
"Mark Appel","Phillies","SP","999.0","77","($29.3)","($11.9)","($40.7)","($45.8)","($25.6)","($153.3)","$63.3","($89.0)"
"Luis Perdomo","Padres","SP","486.5","158","($1.7)","($13.5)","($68.3)","($67.0)","($3.3)","($153.8)","$63.3","($89.5)"
"Tom Koehler","Marlins","SP","591.7","170","$2.9","($13.5)","($66.3)","($80.4)","$3.0","($154.3)","$63.3","($90.0)"
"Connor Sadzeck","Rangers","SP","999.0","82","($20.1)","($11.9)","($44.9)","($53.8)","($24.0)","($154.7)","$63.3","($90.4)"
"Miguel Diaz","Padres","RP","999.0","50","($29.3)","($11.9)","($30.3)","($37.4)","($35.4)","($144.3)","$52.5","($90.8)"
"Matt Cain","Giants","SP","807.8","92","($20.1)","($13.5)","($56.9)","($42.7)","($22.4)","($155.7)","$63.3","($91.4)"
"Roenis Elias","Red Sox","SP","874.6","67","($15.5)","($11.9)","($54.9)","($43.3)","($30.3)","($155.9)","$63.3","($91.6)"
"Wade Miley","Orioles","SP","641.5","165","$2.9","($13.5)","($80.8)","($66.6)","$1.4","($156.6)","$63.3","($92.3)"
"Yovani Gallardo","Mariners","SP","603.2","154","$2.9","($13.5)","($62.7)","($76.1)","($7.6)","($157.0)","$63.3","($92.7)"
"Jimmy Nelson","Brewers","SP","490.4","157","($1.7)","($13.5)","($69.7)","($71.2)","($0.9)","($157.0)","$63.3","($92.7)"
"Clayton Richard","Padres","SP","831.3","128","($6.3)","($13.5)","($43.4)","($77.0)","($18.5)","($158.8)","$63.3","($94.5)"
"Eddie Butler","Cubs","SP/RP","861.3","53","($24.7)","($13.5)","($44.7)","($38.3)","($38.1)","($159.5)","$63.3","($95.2)"
"Chris Beck","White Sox","RP","999.0","39","($29.3)","($13.5)","($30.9)","($35.3)","($39.7)","($148.7)","$52.5","($95.2)"
"A.J. Griffin","Rangers","SP","695.8","123","($10.9)","($13.5)","($76.7)","($49.7)","($8.7)","($159.5)","$63.3","($95.2)"
"Paul Clemens","Padres","SP","969.8","94","($15.5)","($13.5)","($54.1)","($53.6)","($22.8)","($159.6)","$63.3","($95.3)"
"Shelby Miller","Diamondbacks","SP","361.5","157","($1.7)","($13.5)","($69.7)","($75.0)","($0.9)","($160.9)","$63.3","($96.6)"
"Jered Weaver","Padres","SP","771.0","118","($10.9)","($13.5)","($72.5)","($45.6)","($20.9)","($163.4)","$63.3","($99.1)"
"Christian Friedrich","Padres","SP","829.5","146","($6.3)","($13.5)","($66.6)","($72.9)","($5.2)","($164.6)","$63.3","($100.3)"
"Chad Bettis","Rockies","SP","526.2","181","$12.1","($13.5)","($88.1)","($80.5)","$5.3","($164.8)","$63.3","($100.5)"
"Robert Stephenson","Reds","SP","663.0","80","($20.1)","($13.5)","($58.9)","($50.6)","($22.1)","($165.2)","$63.3","($100.9)"
"Kyle Lohse","","SP","999.0","48","($29.3)","($13.5)","($51.8)","($32.3)","($39.3)","($166.2)","$63.3","($101.9)"
"Martin Perez","Rangers","SP","461.2","184","$7.5","($13.5)","($72.7)","($85.3)","($4.4)","($168.5)","$63.3","($104.2)"
"Brett Oberholtzer","Angels","RP","999.0","56","($24.7)","($13.5)","($48.0)","($37.3)","($35.0)","($158.6)","$52.5","($105.1)"
"Bryan Mitchell","Yankees","SP","737.1","107","($15.5)","($13.5)","($54.4)","($68.6)","($17.4)","($169.4)","$63.3","($105.1)"
"Daniel Webb","White Sox","RP","999.0","63","($24.7)","($13.5)","($26.9)","($66.0)","($29.5)","($160.6)","$52.5","($107.1)"
"Carson Fulmer","White Sox","SP","613.7","71","($24.7)","($13.5)","($56.7)","($51.7)","($24.8)","($171.4)","$63.3","($107.1)"
"Ubaldo Jimenez","Orioles","SP","674.6","142","($1.7)","($13.5)","($76.0)","($78.2)","($2.9)","($172.2)","$63.3","($107.9)"
"Jordan Lyles","Rockies","SP/RP","999.0","61","($24.7)","($13.5)","($48.4)","($51.2)","($35.0)","($172.8)","$63.3","($108.5)"
"Hector Santiago","Twins","SP","524.5","176","$2.9","($13.5)","($91.5)","($76.4)","$3.8","($174.7)","$63.3","($110.4)"
"Logan Verrett","Orioles","SP","910.8","80","($24.7)","($13.5)","($58.9)","($48.6)","($29.5)","($175.3)","$63.3","($111.0)"
"Kyle Crick","Giants","SP","999.0","118","($15.5)","($10.2)","($57.5)","($84.3)","($9.9)","($177.5)","$63.3","($113.2)"
"Jerome Williams","","RP","999.0","55","($29.3)","($13.5)","($49.4)","($37.7)","($38.5)","($168.4)","$52.5","($114.9)"
"Doug Fister","","SP","674.7","173","$2.9","($13.5)","($84.5)","($75.5)","($9.9)","($180.5)","$63.3","($116.2)"
"Jarred Cosart","Padres","SP","934.8","85","($20.1)","($13.5)","($51.9)","($66.3)","($28.7)","($180.5)","$63.3","($116.2)"
"Andrew Albers","Twins","RP","999.0","67","($24.7)","($13.5)","($43.6)","($54.9)","($34.2)","($171.0)","$52.5","($117.5)"
"Jeff Hoffman","Rockies","SP","635.9","117","($10.9)","($13.5)","($73.9)","($73.0)","($12.7)","($184.0)","$63.3","($119.7)"
"Andrew Cashner","Rangers","SP","566.9","152","($1.7)","($13.5)","($84.3)","($84.5)","($3.7)","($187.6)","$63.3","($123.3)"
"Matt Garza","Brewers","SP","859.4","131","($10.9)","($13.5)","($76.6)","($74.1)","($13.4)","($188.6)","$63.3","($124.3)"
"Edwin Jackson","","SP","999.0","86","($20.1)","($13.5)","($72.9)","($60.2)","($24.8)","($191.5)","$63.3","($127.2)"
"Mike Pelfrey","Tigers","SP","999.0","99","($15.5)","($13.5)","($62.0)","($77.1)","($29.9)","($198.0)","$63.3","($133.7)"
"Wily Peralta","Brewers","SP","532.7","158","($1.7)","($13.5)","($87.0)","($96.0)","($4.8)","($203.1)","$63.3","($138.8)"
"James Shields","White Sox","SP","411.0","183","$2.9","($13.5)","($111.5)","($93.4)","$11.2","($204.3)","$63.3","($140.0)"
